WEIGHT: 55546.3075276, 55714.4798169 
THETA: 2

Ground Function:
TF
+1
+10 +10

Arguments: threshold winnow ground_file.txt sphere 5000 2500 0.2

Training Updates: 225
([1.877144218775806, 0.7485657896430158, 2], [0.9085394949848816, -0.417798978041613, 1])
([320.2316195875458, 827.4137214080282, 2], [0.7148690318253775, -0.6992583695151939, 0])
([571.412497483071, 565.2903184057434, 2], [0.8354168238826418, -0.5496168941852488, 1])
([345.2384590580827, 909.8909197129102, 2], [0.7269394025252313, -0.6867016128248569, 0])
([619.7678540923171, 627.4769728650552, 2], [0.8441347400691394, -0.5361310852845661, 1])
([1008.5553418189547, 383.1393792614435, 2], [-0.7024904174518477, 0.7116932017297402, 0])
([639.6229032019617, 646.1023513716582, 2], [0.6569967462709421, -0.7538934111592934, 0])
([389.10528883417123, 1047.4236165499944, 2], [0.7170610088494886, -0.6970104085218193, 0])
([702.9191865855314, 729.6407812565931, 2], [-0.8531982446730272, 0.5215867667865676, 0])
([1155.8421497788229, 450.22367409928637, 2], [-0.7175136465826034, 0.6965444472305662, 0])
([755.9268868147856, 778.6716127979114, 2], [-0.612625777387025, 0.7903731124481295, 1])
([1232.9117851856327, 476.52603383211186, 2], [-0.7057509696682066, 0.7084599980326244, 0])
([946.3177530743603, 904.3319668173003, 2], [0.3816729827529414, -0.924297427366577, 0])
([1522.810927851221, 546.2539669649816, 2], [-0.6863402321029101, 0.7272806100790282, 0])
([1044.122678091638, 977.0063962688422, 2], [0.5444455981839261, -0.8387961555814064, 0])
([1664.5302408998052, 585.0521737822598, 2], [-0.6728238515549975, 0.7398027201752498, 0])
([1115.5298194342654, 1030.33144174423, 2], [-0.5773860023063132, 0.8164713126257003, 1])
([681.6298248424407, 1677.8750947456895, 2], [0.7106687115929459, -0.7035268170886043, 0])
([1162.9365288525214, 1078.8181169306654, 2], [0.7707119916036312, -0.6371836673976853, 1])
([714.9242227732316, 1767.5085369952385, 2], [0.7019101200569174, -0.7122655286911501, 0])
([1254.8094141336076, 1178.9577538671322, 2], [0.8116060190695101, -0.5842051607185117, 1])
([774.6916179705221, 1939.61804597867, 2], [0.6957742229102611, -0.7182605590825812, 0])
