WEIGHT: 1010947.76272, 962128.873604 
THETA: 2

Ground Function:
TF
+1
+10 +10

Arguments: relu winnow ground_file.txt sphere 5000 2500 0.2

Training Updates: 278
([1.5751000174424046, 1.6879173484510221, 2], [0.6554434413660597, 0.755244261924721, 1])
([14.78916707770333, 27.677507713422163, 2], [-0.595726969471882, 0.8031870129950106, 1])
([26.53106278949858, 19.066268984665403, 2], [0.8431416661564517, -0.5376914829071802, 1])
([16.980609200730154, 32.40510700586345, 2], [0.6437942503271397, -0.7651986429978272, 0])
([30.153046256358905, 21.978717432149626, 2], [0.8284155415810182, -0.5601139977424491, 1])
([19.36836486721864, 37.46763000698777, 2], [0.6386015972623872, -0.7695375234346457, 0])
([33.25435451246131, 24.278296662969346, 2], [0.7798411049585823, -0.6259775163829586, 1])
([21.044668838654804, 40.86469829642165, 2], [0.660088460155879, -0.751187875813395, 0])
([37.90895273908526, 28.33522969999839, 2], [0.8490837941740482, -0.5282581854273557, 1])
([22.84126409950461, 45.47537829619114, 2], [0.7308961059225374, -0.6824887415534934, 0])
([40.059513197356125, 30.30068304457104, 2], [-0.8105023939542743, 0.5857353236696508, 0])
([24.534440093210186, 49.45880084771777, 2], [0.7073365419812652, -0.7068769457111937, 0])
([39.73538769364237, 30.05934425644988, 2], [-0.6956160730422827, 0.7184137240652031, 0])
([26.56325960298339, 52.84337610242415, 2], [-0.5809922286725974, 0.8139091043980576, 1])
([43.7496850232822, 32.661319383530255, 2], [-0.7198404382354233, 0.6941395706059652, 0])
([28.02987325236385, 55.55936819709863, 2], [-0.6423074095752453, 0.7664471225105736, 1])
([50.772613188146316, 38.87534994761443, 2], [0.8570852945728307, -0.5151745314230936, 1])
([30.853415298052678, 62.95226585501034, 2], [0.7186203188973201, -0.6954026439897348, 0])
([55.462496299477046, 43.50575050553174, 2], [0.8460823554158942, -0.5330521999334517, 1])
([36.31271903300852, 75.3082377982364, 2], [-0.6110375911183669, 0.7916015804937884, 1])
([65.84208141695625, 52.78224421471579, 2], [-0.8585349826614421, 0.5127549936826722, 0])
([42.14329953431237, 89.71349467703172, 2], [-0.6437066715234524, 0.7652723182215584, 1])
([74.17988369120087, 60.0799965708917, 2], [-0.8157247339923259, 0.5784402807145688, 0])
([46.69204251407954, 100.6433156796357, 2], [0.6678513060500268, -0.7442947218725076, 0])
([85.63796727683372, 71.95974319910421, 2], [0.8750738522279774, -0.48398941429218073, 1])
([54.796230710646114, 122.27597889391814, 2], [-0.64417389459576, 0.7648790711748693, 1])
([90.59825965396149, 75.8815201819534, 2], [-0.725406679725558, 0.6883205278135627, 0])
([57.73046670736839, 128.48731934463663, 2], [-0.6501504486105906, 0.7598054975922772, 1])
([99.46242861110022, 83.61888104474271, 2], [-0.784818769895672, 0.6197253411144684, 0])
([60.68059642063017, 135.95692937535335, 2], [0.7129163927006189, -0.7012490406544147, 0])
([98.72972500139397, 83.00202887689481, 2], [-0.7022492430612159, 0.7119311768843595, 0])
([59.06432554195036, 132.18014981884525, 2], [0.74119749346919, -0.6712870292765906, 0])
([97.25210385504279, 81.67426506774576, 2], [-0.7194424449790107, 0.6945520631044322, 0])
([60.77881458093178, 135.93028406379923, 2], [0.6781609231923883, -0.7349134386135877, 0])
([108.40664334623054, 92.8087600260524, 2], [0.8348127280606561, -0.550534021717028, 1])
([65.44980910833816, 149.2693762402315, 2], [0.727992280734863, -0.6855853259736913, 0])
([111.11981368657595, 95.41539150954442, 2], [-0.7636551959739222, 0.6456243038037143, 0])
([67.91747378072773, 155.4264411049523, 2], [0.7102613821353618, -0.7039380434719844, 0])
([116.06041419363511, 100.12844378415181, 2], [0.7730212793217155, -0.6343800924649341, 1])
([71.72958513055082, 164.9009264157582, 2], [0.6942357910183006, -0.7197476408222498, 0])
([125.71576549026848, 109.77234473626216, 2], [-0.8095253918264133, 0.587084866086916, 0])
([76.19328731204538, 177.27129392711163, 2], [0.7224297776037296, -0.6914442974176774, 0])
([131.00663516523306, 115.07386193124475, 2], [0.7819040767107086, -0.6233987606846636, 1])
([81.59866895027126, 190.91859706301213, 2], [0.6830223585403824, -0.730397465585645, 0])
([139.77862923308376, 123.35983796074258, 2], [-0.7765262797583059, 0.630084864795787, 0])
([86.03272378025906, 202.3471987623467, 2], [0.7001863847374062, -0.7139601015661596, 0])
([152.38529606011042, 136.73277604821047, 2], [-0.8247662821620442, 0.5654737658005003, 0])
([94.75150132164961, 226.48710602708022, 2], [0.6855029933878941, -0.7280698085048141, 0])
([176.58605467623818, 166.987623758301, 2], [-0.8981507073799326, 0.43968773786964604, 0])
([283.02339988893476, 100.48913100670711, 2], [-0.6805499223197501, 0.7327017150454762, 0])
([200.075844128049, 183.1275230369486, 2], [0.5003743415106042, -0.8658091697122577, 0])
([121.25792217650358, 295.7243432374293, 2], [0.7224679896647676, -0.6914043707626886, 0])
([204.5857639839862, 187.65707824642277, 2], [-0.7546267528736367, 0.6561542988104179, 0])
([126.77727288402379, 309.8387031270502, 2], [0.6904096197234818, -0.7234186595556389, 0])
([228.2269541241727, 214.62202264293123, 2], [-0.8481730477529602, 0.5297192473994643, 0])
([138.92950821346483, 348.16695251705215, 2], [0.7161161312734651, -0.6979811505548882, 0])
